model_name,fold,auroc,auprc,pauc_tpr80,sensitivity,specificity,f1,brier,ece
m0_constant,0,0.5,0.0013334866076560525,0.09999999999999998,1.0,0.0,0.0026634215783068907,0.001331708899020198,2.1860854147792274e-05
m0_lightgbm,0,0.9187828904803071,0.06488145531281016,0.6662995078881583,0.896551724137931,0.7013605912010498,0.007949854762268766,0.005631407243159086,0.012078941578998562
m1_cnn_baseline,0,0.8864705364011136,0.05556318957425002,0.555329041743373,0.9482758620689655,0.5675576121739531,0.00582102979308885,0.0012992015205936533,0.0008135702160412662
m2_monet_feature_baseline,0,0.9036607119466719,0.059674634064863105,0.6240500510846863,0.8620689655172413,0.7867716462923314,0.010672358591248666,0.0013057086550618856,0.0005540733378928466
m3_transformer_baseline,0,0.9218176066328325,0.06485785403216583,0.6702317585595627,0.9137931034482759,0.7543568846835647,0.009832112048975048,0.005525918084440865,0.0526654529494792
m4_multimodal_fusion,0,0.9431584625533769,0.15631730127115895,0.7684580839630604,0.8793103448275862,0.8651380159771623,0.017094017094017096,0.001228580501866999,0.003710308791933587
m0_constant,1,0.5,0.0013334866076560525,0.09999999999999998,1.0,0.0,0.0026634215783068907,0.0013317112098812298,5.280869223317063e-05
m0_lightgbm,1,0.9243291711420344,0.04392809559154988,0.7123297077892436,0.896551724137931,0.8124640283629164,0.012596899224806201,0.005326271743500454,0.01151200074028721
m1_cnn_baseline,1,0.8818419542214527,0.021439729118025944,0.6109526043663712,0.9655172413793104,0.5008402974422728,0.005138557533492384,0.0013968407871807924,0.0009641019459976987
m2_monet_feature_baseline,1,0.8507122483374654,0.01556733159672979,0.5213160478949695,0.7586206896551724,0.7706103091834151,0.008742300814623485,0.0023097316119442264,0.0020950469613591548
m3_transformer_baseline,1,0.8898495879486185,0.03251654685867659,0.6097760688686666,0.8793103448275862,0.7570504408683841,0.009566685424873381,0.0036058873299625958,0.03359527723832245
m4_multimodal_fusion,1,0.9081858942757366,0.036324713644818186,0.6382375029075006,0.8620689655172413,0.849298984736515,0.015028554253080854,0.0019757374775307285,0.002285020885035586
m0_constant,2,0.5,0.0013105255897365154,0.09999999999999998,1.0,0.0,0.0026176207205345454,0.0013088128081418322,6.852537246495173e-05
m0_lightgbm,2,0.9199796923069467,0.05115748396790941,0.6631479589920307,0.9298245614035088,0.7062642447682851,0.008236848239956485,0.005483914400620333,0.011890325414154683
m1_cnn_baseline,2,0.8853532177475021,0.02362680799540307,0.5935896674716235,0.9298245614035088,0.543614890531114,0.00531754790809672,0.0013095582672157551,0.0005886199983799913
m2_monet_feature_baseline,2,0.9139766445374203,0.029534379613844104,0.7179803458043086,0.8070175438596491,0.8193705826829661,0.011573782865769279,0.00131189526169861,0.0005034741207206444
m3_transformer_baseline,2,0.907135318785949,0.044440941405123696,0.6934652687154496,0.9122807017543859,0.6631673458111748,0.007055630936227951,0.010906663741638616,0.06616304853392584
m4_multimodal_fusion,2,0.930935062637601,0.056355812160245204,0.7457109287942326,0.9473684210526315,0.6819761954094435,0.007755834829443447,0.0016304009840386175,0.005431291530470731
m0_constant,3,0.5,0.001448309156532334,0.09999999999999998,1.0,0.0,0.00289242918139663,0.0014462394393330153,0.00016697968013015168
m0_lightgbm,3,0.9579264219424455,0.11266334893110798,0.8335814634046514,0.9682539682539683,0.7874574086011603,0.013039760581445063,0.003952512064842984,0.008968224723451292
m1_cnn_baseline,3,0.8714857984818387,0.05408925391126203,0.5169766282668022,0.6031746031746031,0.9271111520397827,0.023262932353841442,0.0014168131493317961,0.0005398525369666778
m2_monet_feature_baseline,3,0.8638069219154033,0.03996423771061944,0.518436904798448,0.6984126984126984,0.8806519937379133,0.016632016632016633,0.0014614884283248425,0.0017206914600284482
m3_transformer_baseline,3,0.920033598054134,0.040753331000823324,0.6932084716503168,0.7619047619047619,0.9002900819596648,0.02161188653759568,0.00552976371707566,0.04938270506407957
m4_multimodal_fusion,3,0.9577491861772182,0.08808385931999178,0.8380366589340712,0.8571428571428571,0.9166820149185008,0.028907922912205567,0.0014878638978739742,0.002894658039771524
m0_constant,4,0.5,0.0013335172667494368,0.09999999999999998,1.0,0.0,0.00266348273328435,0.0013317400742513966,3.279943107883888e-05
m0_lightgbm,4,0.9408289167415556,0.06103779398004549,0.7762629758884256,0.896551724137931,0.8311308591951376,0.01396910678307589,0.006950986364928778,0.01572265603741099
m1_cnn_baseline,4,0.8420077418699251,0.06556704987673075,0.42731676568935334,0.8103448275862069,0.729510083801455,0.007929812721444239,0.0020914891998168404,0.009033156407160674
m2_monet_feature_baseline,4,0.8809274683958325,0.059512084776678936,0.564189564670653,0.8448275862068966,0.7873422967124044,0.010488013698630139,0.001861378281912039,0.0028653683352319243
m3_transformer_baseline,4,0.8664906513268827,0.05311089009176796,0.5421848554035903,0.7758620689655172,0.8032968044939681,0.01040823406961952,0.0052699517842752465,0.03907148458823152
m4_multimodal_fusion,4,0.9240910527101307,0.04544155980378335,0.705885909034616,0.7931034482758621,0.9095220554378857,0.022806147744174516,0.0020730042221460913,0.006025670133536233
