split,n_samples,n_positive,positive_rate,n_patients
ISIC fold0 train,154204,209,0.0013553474618038443,456
ISIC fold0 val,19778,27,0.0013651532005258368,51
ISIC fold0 test,43495,58,0.0013334866076560525,127
ISIC fold1 train,157975,219,0.0013862952998892229,456
ISIC fold1 val,16007,17,0.0010620353595302055,51
ISIC fold1 test,43495,58,0.0013334866076560525,127
ISIC fold2 train,159530,220,0.0013790509622014669,457
ISIC fold2 val,14453,17,0.0011762263889849858,51
ISIC fold2 test,43494,57,0.0013105255897365154,126
ISIC fold3 train,154527,198,0.0012813294764021821,456
ISIC fold3 val,19451,33,0.0016965708703922677,51
ISIC fold3 test,43499,63,0.001448309156532334,127
ISIC fold4 train,152966,209,0.0013663166978282756,456
ISIC fold4 val,21017,27,0.0012846743112718275,51
ISIC fold4 test,43494,58,0.0013335172667494368,127
PAD external,2298,1089,0.47389033942558745,1373
